itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
192,2632.0649,13.5488,2.0511,1.8262,800.0,18.0000,6.3208,18.5765,3.9097
193,2645.6528,13.5879,2.0573,1.8226,800.0,18.0000,9.9679,19.5318,3.9415
194,2659.3703,13.7175,2.0557,1.8020,800.0,18.0000,18.6995,21.3099,4.0628
195,2673.0728,13.7025,2.0802,1.8322,800.0,18.0000,29.9929,20.7350,4.0666
196,2686.4941,13.4213,2.0570,1.8214,800.0,18.0000,29.5631,19.4911,4.0711
197,2699.9744,13.4803,2.0665,1.8617,800.0,18.0000,15.8707,16.5324,3.9457
198,2713.5142,13.5398,2.0497,1.8346,800.0,18.0000,9.1547,17.4940,4.0078
199,2727.1176,13.6034,2.0379,1.7878,800.0,18.0000,24.7083,20.8030,4.2126
200,2740.8136,13.6960,2.0271,1.7721,800.0,18.0000,29.8874,21.1980,4.3065
201,2754.3909,13.5773,2.0104,1.7493,800.0,18.0000,13.2039,21.8119,4.2965
202,2767.8967,13.5058,2.0047,1.7576,800.0,18.0000,14.9167,20.4082,4.3003
203,2781.2804,13.3837,2.0131,1.7882,800.0,18.0000,21.1766,18.2440,4.2402
204,2794.8591,13.5787,1.9966,1.7699,800.0,18.0000,9.8678,18.4179,4.2509
205,2808.3002,13.4410,1.9980,1.7584,800.0,18.0000,15.3544,19.6466,4.3106
206,2821.9174,13.6172,1.9895,1.7412,800.0,18.0000,20.2299,20.4355,4.3898
207,2835.5083,13.5910,1.9668,1.7132,800.0,18.0000,11.3752,20.9088,4.4536
208,2849.2122,13.7039,1.9777,1.7232,800.0,18.0000,12.1546,21.0107,4.4330
209,2862.8380,13.6257,1.9660,1.7184,800.0,18.0000,20.3790,20.2840,4.4724
210,2876.1856,13.3477,1.9769,1.7359,800.0,18.0000,15.2627,19.6901,4.4139
211,2889.8002,13.6146,1.9578,1.7178,800.0,18.0000,5.8714,19.5392,4.4596
212,2903.3421,13.5419,1.9610,1.7118,800.0,18.0000,16.5022,20.4006,4.5151
213,2917.0529,13.7108,1.9570,1.6931,800.0,18.0000,14.1362,21.8499,4.5360
214,2930.6295,13.5765,1.9302,1.6652,800.0,18.0000,7.8453,21.8900,4.6064
215,2944.3250,13.6956,1.9306,1.6619,800.0,18.0000,14.1167,22.2571,4.6185
216,2958.0332,13.7082,1.9434,1.6849,800.0,18.0000,19.8721,21.2678,4.5790
217,2971.6111,13.5779,1.9316,1.6900,800.0,18.0000,12.6836,19.6227,4.5420
218,2985.0903,13.4792,1.9180,1.6742,800.0,18.0000,6.6118,19.7796,4.5922
219,2998.6317,13.5414,1.9149,1.6601,800.0,18.0000,16.1872,20.8458,4.6385
220,3012.2030,13.5714,1.9166,1.6576,800.0,18.0000,12.3865,21.2609,4.6403
221,3025.6129,13.4098,1.9183,1.6446,800.0,18.0000,7.8519,22.6808,4.6857
222,3038.9344,13.3215,1.9359,1.6697,800.0,18.0000,13.2199,21.9486,4.6752
223,3052.5950,13.6606,1.9249,1.6732,800.0,18.0000,9.8088,20.5658,4.6097
224,3066.0373,13.4423,1.9007,1.6565,800.0,18.0000,4.9893,19.7777,4.6396
225,3079.5635,13.5262,1.8890,1.6443,800.0,18.0000,9.1549,19.7785,4.6860
226,3093.2036,13.6401,1.8949,1.6420,800.0,18.0000,4.3574,20.6297,4.6598
227,3106.8090,13.6054,1.8989,1.6313,800.0,18.0000,10.6153,22.0446,4.7128
228,3120.5002,13.6912,1.9004,1.6346,800.0,18.0000,15.3708,21.8536,4.7280
229,3134.0791,13.5789,1.8707,1.6121,800.0,18.0000,13.0870,21.1241,4.7368
230,3147.8397,13.7606,1.8818,1.6365,800.0,18.0000,12.0297,19.8307,4.6932
231,3161.3193,13.4796,1.8765,1.6339,800.0,18.0000,9.6620,19.5566,4.7034
